company,job,location,job_keyword,job_type,qry_company,list_id
Walmart eCommerce,"Design Lead, Researcher (Online Grocery)","Carlsbad, CA",quant,quant,Walmart,f1000_0
Walmart eCommerce,"Manager, Operations Finance","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart Stores,"Manager, Operations Finance","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart Stores,Staff Data Scientist,"Sunnyvale, CA 94087",quantitative finance,quant,Walmart,f1000_0
Walmart Stores,"2019 Fulltime - Advanced Analytics Specialist, Supply Chain Management","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart eCommerce,"2019 Fulltime - Advanced Analytics Specialist, Supply Chain Management","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart eCommerce,"2019 MBA Summer Intern - Product Manager Ecommerce, Sam's Club","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart eCommerce,Staff Data Scientist,"Sunnyvale, CA 94087",quantitative finance,quant,Walmart,f1000_0
Walmart Stores,"2019 Fulltime - Retail Analytics Manager, Retail Core Engine","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart eCommerce,"2019 Fulltime - Retail Analytics Manager, Retail Core Engine","San Bruno, CA 94066",quantitative finance,quant,Walmart,f1000_0
Walmart eCommerce,"Senior Analyst, Product Analytics","San Bruno, CA 94066",quantitative analyst,quant,Walmart,f1000_0
Walmart eCommerce,"Product Analyst, Voice of Customer","San Bruno, CA 94066",quantitative analyst,quant,Walmart,f1000_0
Walmart Stores,"Product Analyst, Voice of Customer","San Bruno, CA 94066",quantitative analyst,quant,Walmart,f1000_0
Walmart Stores,"Senior Manager I, Site Analytics","San Bruno, CA 94066",quantitative analyst,quant,Walmart,f1000_0
GEICO,Employee Experience Strategy Analyst,"Chevy Chase, MD",quantitative finance,quant,Geico,f1000_1
GEICO,Data Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
GEICO,Customer Research Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
GEICO,Product Strategy Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
GEICO,Employee Experience Strategy Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
GEICO,Pricing Modeling Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
GEICO,Business Analyst,"Chevy Chase, MD",quantitative analyst,quant,Geico,f1000_1
Apple,WW Product Financial Analyst,"Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,Financial Data Science Analyst,"Austin, TX",quantitative finance,quant,Apple,f1000_2
Apple,Product Marketing Financial Analyst,"Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,Financial Analyst-WW Enterprise Sales Finance,"Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,Machine Learning Engineer - AppleCare,"Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,Data Analyst,"Austin, TX",quantitative finance,quant,Apple,f1000_2
Apple,"Data Scientist, AMP Data Science & Analytics","Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,US Enterprise Sales Finance Manager,"Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,"Business Development Manager, Worldwide Sales","Santa Clara Valley, CA",quantitative finance,quant,Apple,f1000_2
Apple,"Apple Retail Online, Financial Analyst","Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,Taxonomy Metadata Analyst,"Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,Financial Data Science Analyst,"Austin, TX",quantitative analyst,quant,Apple,f1000_2
Apple,"Subscription Monetization Analyst, App Store","Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,"Software Quality Analyst, Apple Media Products A/B Testing & Evaluation - Search and Recommendations","Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,"Data Scientist, AMP Data Science & Analytics","Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,Market Research Analyst - Data Insights,"Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,AppleCare Data Analyst,"Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
Apple,WW Product Financial Analyst,"Santa Clara Valley, CA",quantitative analyst,quant,Apple,f1000_2
McKesson,"Sr. Associate, Technical Writer/Rédacteur ou rédactrice technique","Markham, IL",quant,quant,McKesson,f1000_4
McKesson,Gestionnaire de cas sur le terrain (Contrat de 3 mois) / Field Support Manager ( 3 Months Contract),Work at Home,quant,quant,McKesson,f1000_4
McKesson,Database Developer/Développeuse ou développeur de bases de données,"Markham, IL",quant,quant,McKesson,f1000_4
McKesson,Financial Analyst - 1 year contract / Analyste financier - contrat d'un an,"Markham, IL",quant,quant,McKesson,f1000_4
McKesson,"Manager Patient Engagement and Loyalty / Chef, expérience patient et loyauté","Markham, IL",quant,quant,McKesson,f1000_4
McKesson,"Senior Manager, Tax Reporting","Dallas-Fort Worth, TX",quantitative finance,quant,McKesson,f1000_4
McKesson,Fulfillment Warehouse Manager,"Louisville, KY 40207",quantitative finance,quant,McKesson,f1000_4
McKesson,Data Engineer,"Phoenix, AZ 85020 (North Mountain area)",quantitative analyst,quant,McKesson,f1000_4
UnitedHealth Group,Senior Financial Data Analyst,"Eden Prairie, MN 55344",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst - ALDP,"Shelton, CT 06484",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Healthcare Economics Consultant,"Salt Lake City, UT",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Data Analyst,"San Antonio, TX 78208 (Government Hill Alliance area)",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,"Associate Director, Healthcare Economics","Minnetonka, MN 55345",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst,"Indianapolis, IN 46262",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Associate Actuarial Analyst – ALDP,"Horsham, PA 19044",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,"Manager, Healthcare Economics","Hartford, CT 06112 (Blue Hills area)",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Senior Financial Analyst II - SG&A,"Eden Prairie, MN 55344",quantitative finance,quant,UnitedHealth,f1000_5
UnitedHealth Group,Data Analyst,"San Antonio, TX 78208 (Government Hill Alliance area)",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Healthcare Data Analyst,"White Plains, NY 10606",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Venture Data Analyst,"Minnetonka, MN 55345",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst - ALDP,"Shelton, CT 06484",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Principal Data Analyst,"Minnetonka, MN 55345",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Healthcare Economics Analyst,"Cypress, CA 90630",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst,"Indianapolis, IN 46262",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Associate Actuarial Analyst – ALDP,"Horsham, PA 19044",quantitative analyst,quant,UnitedHealth,f1000_5
UnitedHealth Group,Senior Testing Analyst,"Eden Prairie, MN 55344",quantitative analyst,quant,UnitedHealth,f1000_5
CVS Health,Data Scientist : Advisor Analytics,"Woonsocket, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,Assistant Field Merchant,Michigan,quantitative finance,quant,CVS Health,f1000_6
CVS Health,Enterprise Market Strategy Advisor,"Woonsocket, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,MBA Internship - Health Services,"Woonsocket, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,"Analytics, Machine Learning Data Scientist - Advisor","Woonsocket, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,Digital Product Manager – Healthcare Providers,"Cumberland, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,Senior Business Consultant - Analytics,"Denver, CO",quantitative finance,quant,CVS Health,f1000_6
CVS Health,Product Innovation Senior Advisor - Formulary,"Scottsdale, AZ",quantitative finance,quant,CVS Health,f1000_6
CVS Health,JDA Supply Chain Analyst,"Woonsocket, RI",quantitative finance,quant,CVS Health,f1000_6
CVS Health,MBA Intern - Retail and Personalization Strategy,"Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,Digital Leadership Program - Analyst,"Boston, MA 02110 (Central area)",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,Strategic Analytics - Senior Advisor,"Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,"Analytics, Data Engineer","Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,Senior Analyst - Strategic Sourcing,"Cumberland, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,JDA Supply Chain Analyst,"Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,"Analytics, Data and Cloud Infrastructure Engineer","Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,Product Manager - Digital Messaging,"Boston, MA 02110 (Central area)",quantitative analyst,quant,CVS Health,f1000_6
CVS Health,"Category Strategy & Profit Improvement, Senior Manager","Woonsocket, RI",quantitative analyst,quant,CVS Health,f1000_6
General Motors,CAE Application Development Engineer,"Warren, MI",quantitative analyst,quant,General Motors,f1000_7
Ford Motor Company,Strategic Research Project Manager,"Dearborn, MI 48126",quantitative finance,quant,Ford Motor,f1000_9
Ford Motor Company,Senior Data Scientist - Statistical Modeling Supervisor,"Dearborn, MI 48126",quantitative finance,quant,Ford Motor,f1000_9
Ford Motor Company,Behavioral Insights Research Manager,"Dearborn, MI 48126",quantitative finance,quant,Ford Motor,f1000_9
Ford Motor Company,"Quantitative Analyst/Statistician, Data Science","Dearborn, MI 48126",quantitative analyst,quant,Ford Motor,f1000_9
Ford Motor Company,Customer Analytics Analyst,"Dearborn, MI 48126",quantitative analyst,quant,Ford Motor,f1000_9
