company,job,location,job_keyword,job_type,qry_company,list_id
Walmart eCommerce,DATA SCIENTIST,"San Bruno, CA 94066",statistics,stats,Walmart,f1000_0
Walmart Stores,DATA SCIENTIST,"San Bruno, CA 94066",statistics,stats,Walmart,f1000_0
Walmart eCommerce,Advanced Analytics Specialist 3,"San Bruno, CA 94066",statistics,stats,Walmart,f1000_0
Walmart Stores,Advanced Analytics Specialist 3,"San Bruno, CA 94066",statistics,stats,Walmart,f1000_0
Walmart eCommerce,Associate Data Scientist,"Bruno, AR",statistics,stats,Walmart,f1000_0
Walmart Stores,Data Scientist-Marketing,"Bentonville, AR 72712",statistics,stats,Walmart,f1000_0
Walmart Stores,Data Scientist-Tech,"Bentonville, AR 72712",statistics,stats,Walmart,f1000_0
Walmart Stores,Associate Data Scientist,"Bruno, AR",statistics,stats,Walmart,f1000_0
Walmart Stores,Associate Product Analytics,"San Bruno, CA 94066",statistics,stats,Walmart,f1000_0
Walmart Stores,"Senior Analyst, Product Analytics","San Bruno, CA 94066",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Senior Analyst II Business Intelligence Analytics,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart eCommerce,"Senior Analyst, Product Analytics","San Bruno, CA 94066",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Senior Data Analyst,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Senior Manager II Business Analyst Insights,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Analyst Finance Operations e-Commerce,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Principal Data Analyst-Tech,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Predictive Analyst Insight Research & Analysis - Risk Management,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
Walmart Stores,Staff Data Analyst-Tech,"Bentonville, AR 72712",statistical analyst,stats,Walmart,f1000_0
GEICO,Data Modeling Analyst,"Chevy Chase, MD",statistics,stats,Geico,f1000_1
GEICO,Data Scientist,"Chevy Chase, MD",statistics,stats,Geico,f1000_1
GEICO,Financial Analyst,"Chevy Chase, MD",statistics,stats,Geico,f1000_1
GEICO,Underwriting and Product Management Internship,"Chevy Chase, MD",statistics,stats,Geico,f1000_1
GEICO,Managing Attorney III,"Houston, TX",statistics,stats,Geico,f1000_1
GEICO,Pricing Modeling Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Data Modeling Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Data Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Financial Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Business Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Employee Experience Strategy Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
GEICO,Senior Financial Software Analyst,"Chevy Chase, MD",statistical analyst,stats,Geico,f1000_1
Apple,Data Scientist - Comm Apps,"Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,Maps Data Analyst - Maps Evaluation,"Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,"Siri - Data Scientist, Data organization","Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,Location Estimation Scientist,"Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,Computational Scientist - Exploratory Design Group,"Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,"Siri - Embedded Data Scientist, Data organization","Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,AppleCare Data Scientist,"Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,"Siri - Data Scientist, Advanced Development","Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,"Data Scientist, Apple Pay Analytics","Santa Clara Valley, CA",statistics,stats,Apple,f1000_2
Apple,Corporate FP&A Financial Analyst,"Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,"Data Scientist, AMP Data Science & Analytics","Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,Financial Data Science Analyst,"Austin, TX",statistical analyst,stats,Apple,f1000_2
Apple,"Subscription Monetization Analyst, App Store","Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,Data Analyst - Data Insights,"Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,Data Science Business Analyst - Strategic Data Solutions,"Austin, TX 78758 (North Austin area)",statistical analyst,stats,Apple,f1000_2
Apple,Data & Tableau Reporting Analyst: Data Insights,"Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,Market Research Analyst - Data Insights,"Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,"Product Data Scientist, Apple Media Products Data Science","Santa Clara Valley, CA",statistical analyst,stats,Apple,f1000_2
Apple,"Applied Research Engineer, Apple Media Products","Santa Clara Valley, CA",statistician,stats,Apple,f1000_2
Apple,"Sr Applied Research Engineer, Apple Media Products","Santa Clara Valley, CA",statistician,stats,Apple,f1000_2
Apple,Maps Full Stack Web App Engineer,"Santa Clara Valley, CA",statistician,stats,Apple,f1000_2
Apple,"Sr. Software Engineer, Music Discovery (Java, Web apps / services), Apple Media Products","Santa Clara Valley, CA",statistician,stats,Apple,f1000_2
Apple,"Sr. Software Engineer, Music Discovery (Java, ML, recommender systems), Apple Media Products","Santa Clara Valley, CA",statistician,stats,Apple,f1000_2
ExxonMobil,Research Data Scientist,"Houston, TX 77046 (Montrose area)",statistics,stats,ExxonMobil,f1000_3
ExxonMobil,Clastic Reservoir Quality Specialist,"Spring, TX",statistics,stats,ExxonMobil,f1000_3
ExxonMobil,Risk Control Analyst/Advisor,"Houston, TX 77046 (Montrose area)",statistics,stats,ExxonMobil,f1000_3
McKesson,Clinical Data Analyst,"The Woodlands, TX",statistics,stats,McKesson,f1000_4
McKesson,Program Supervisor,"Louisville, KY 40207",statistics,stats,McKesson,f1000_4
McKesson,"Manager, Business Intelligence","Raleigh-Durham, NC",statistics,stats,McKesson,f1000_4
McKesson,HR Associate 4 (McKesson Pharmaceutical),"Everett, WA",statistics,stats,McKesson,f1000_4
McKesson,Customer Service Supervisor,"Columbus, OH",statistics,stats,McKesson,f1000_4
McKesson,Data Engineer,"Phoenix, AZ 85020 (North Mountain area)",statistics,stats,McKesson,f1000_4
McKesson,Database Architect,"Dallas-Fort Worth, TX",statistical analyst,stats,McKesson,f1000_4
McKesson,Data Engineer,"Phoenix, AZ 85020 (North Mountain area)",statistical analyst,stats,McKesson,f1000_4
UnitedHealth Group,Junior Data Scientist,"Santa Ana, CA 92725",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,VP Data Strategy and Analytics,"Minnetonka, MN 55345",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Business / Data Analyst,"Woodland Hills, CA 91371",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Healthcare Economics Consultant,"Minnetonka, MN 55345",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Sr Research Scientist,"Minnetonka, MN 55345",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Missed Opportunity Analyst,"Franklin, TN 37068",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst,"Indianapolis, IN 46262",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,SAS Healthcare Analytics Consultant ($5K sign-on),"Falls Church, VA 22042",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Senior Principal Data Scientist - Telecommute,"Orlando, FL 32885 (Central Business District area)",statistics,stats,UnitedHealth,f1000_5
UnitedHealth Group,Healthcare Economics Analyst,"Cypress, CA 90630",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst - ALDP,"Shelton, CT 06484",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Senior Statistical Analyst,"San Antonio, TX 78208 (Government Hill Alliance area)",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Sr. Data Visualization Analyst,"Houston, TX",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Senior Reporting Analyst,"Columbia, SC 29228",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,FWAE Overpayment Senior Analyst,"Hartford, CT 06112 (Blue Hills area)",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Senior Healthcare Economics Analyst,"Minnetonka, MN 55345",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Programmer/Data Analyst- Optum State Govt.,"Sacramento, CA 95828",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Actuarial Analyst,"Eden Prairie, MN 55344",statistical analyst,stats,UnitedHealth,f1000_5
UnitedHealth Group,Associate Director Statistical Modeling,"Green Bay, WI 54311",statistician,stats,UnitedHealth,f1000_5
UnitedHealth Group,Associate Director Business Intelligence,"Green Bay, WI 54311",statistician,stats,UnitedHealth,f1000_5
CVS Health,Senior Healthcare Analyst,"Northbrook, IL",statistics,stats,CVS Health,f1000_6
CVS Health,"Advisor, Specialty Reporting Strategy","Northbrook, IL",statistics,stats,CVS Health,f1000_6
CVS Health,Pharma Reporting Advisor,"Northbrook, IL",statistics,stats,CVS Health,f1000_6
CVS Health,Masters Intern - Customer Analytics,"Woonsocket, RI",statistics,stats,CVS Health,f1000_6
CVS Health,Analytics Advisor (EVG),"Woonsocket, RI",statistics,stats,CVS Health,f1000_6
CVS Health,"Analytics Outcomes, Advisor","Northbrook, IL",statistics,stats,CVS Health,f1000_6
CVS Health,Strategic Analytics Advisor,"Cumberland, RI",statistics,stats,CVS Health,f1000_6
